Group,Patients (N),Complete vitals n (%)
All patients,259,164 (63.3%)
Definition,,"≥1 row with HR, O2, BP systolic & diastolic, RR, Temp (village visit)"
Age Groups,,
  <1 year,63,1 (1.6%)
  1 to <5 years,51,22 (43.1%)
  5–12 years,63,61 (96.8%)
  13–18 years,82,80 (97.6%)
Origin Village,,
  Point Hope,58,39 (67.2%)
  Selawik,46,28 (60.9%)
  Buckland,34,23 (67.6%)
  Noorvik,34,19 (55.9%)
  Kivalina,23,14 (60.9%)
  Noatak,16,9 (56.2%)
  Kiana,15,10 (66.7%)
  Shungnak,12,10 (83.3%)
  Deering,8,5 (62.5%)
  Ambler,7,3 (42.9%)
  Kobuk,6,4 (66.7%)
